reseña
El diseño cautiva y la cámara es buena tanto en día como noche, ni hablar de la buena calidad de la cámara frontal. El dispositivo es muy inteligente, lleno de gestos sofisticados. 
La ergonomía al tenerlo en la mano, la rápidas, pero mega rapidez de EMUI 
Este Huawei Nova 12s a pesar que no viene con Google Play, ya viene con Emui 14.2 el cual permite la instalación de las apps de Google desde la appgalery
Aunque el sistema en si carece de servicios de Google, es posible utilizar un ambiente similar e instalarlas casi de forma nativa
Tenía dudas de comprar de nuevo Huawei por lo servicios de google, finalmente decidí por este y estuve a punto de devolverlo también, no porque el equipo fallara, sino porque no podía usar la app de bbva, no funcionaba el reconocimiento facial, no iniciaba.
Uno de los dispositivos móviles más increíbles sus cámaras ofrecen una excelente calidad estoy muy a gusto con el.
Super bonito y muy ligero, las fotos que saca son muy buenas y con EMUI 14 y microG se pueden usar los servicios de Google nativos en casi todas las aplicaciones que los requieran.
Buen telefono pero batallo mucho para instalar el WhatsApp, buenas funcionalidades pero el material se me hace muy sencillo.
Hay que cuidar la cámara cuando se deja en una mesa o algo, por que sobresale.
muy buen celular sobre todo es más accessible en todos los sentidos
Excelente cámara, vino con la tablet completamente gratis y el teléfono es muy bueno.
Excelente teléfono, funciona excelente y ha superado mis expectativas.
Me gusto todo lo que ofrece, si buscas algo funcional y mas para información de oficina esta es la operación, costo beneficio. El unico tema es google pero como se puede descargar aparte esta bien y como hay papa que remplazan las funciones eso ayuda mucho
Un celular muy perron
Copia del nova 11
Este producto ofrece una relación calidad-precio excepcional, aunque existen preocupaciones respecto al rendimiento de su procesador.
Se parece más al Nova 11. Tiene exactamente las mismas dimensiones y cámaras, excepto que el 12s tiene altavoces estéreo. En respuesta a tus preguntas, sí lo venden aquí. Soy de los pocos que disfrutan de EMUI y llevo perfectamente la ausencia de GMS.
